shipment_id,ship_date,delivery_date,weight_kg,shipping_cost,distance_km,carrier,service_level,is_insured,requires_signature,status,destination_region,special_instructions
Basic Product #1161,20250415,2025/07/20,589.75,431.74,1993.14,Correios,Express,True,True,delayed,Midwest,
Basic Product #1162,21/04/2025,2025-05-02,54.32,200.12,541.71,Own Fleet,Express,0,True,delivered,North,Keep Refrigerated 654
Standard Record #1163,2025-08-19,08/13/2025,930.68,175.06,1115.85,Local Courier,Express,1,sim,delayed,Northeast,
Advanced Document #1164,01/16/2026,05/05/2025,482.31,39.21,3421.74,Fedex,Same-Day,NO,YES,in_transit,South,Leave at Door 415
Custom Resource #1165,2026/01/12,20250708,325.48,333.74,1310.17,DHL,Same-Day,yes,no,lost,Southeast,Keep Refrigerated 856
Professional Asset #1166,2025/09/28,2026-02-14,524.32,94.77,144.36,Local Courier,Standard,no,F,delayed,Midwest,
Standard Entry #1167,20260210,28/11/2025,942.28,263.86,"2,717.04",Local Courier,Same-Day,N,0,delayed,Southeast,Keep Refrigerated 209
Advanced Item #1168,2026-02-13,2025-09-25,595.85,6.46,3020.35,DHL,Same-Day,no,F,delayed,North,
Advanced Item #1169,12/05/2025,20260219,593.07,312.30,"3,566.62",Fedex,Economy,false,yes,delivered,South,
Premium Asset #1170,2025/06/26,13/02/2025,536.95,102.46,3175.00,Fedex,Standard,yes,F,returned,South,
Professional Record #1171,21/11/2025,04/06/2025,81.15,290.38,636.46,Fedex,Economy,não,False,delivered,Southeast,
Basic Product #1172,2025/02/03,20250401,272.44,224.84,"1,512.74",DHL,Same-Day,F,0,delayed,Midwest,Handle with Care 236
Basic Resource #1173,21/05/2025,20250416,91.03,127.40,31.85,Correios,Same-Day,no,no,returned,Midwest,
Premium Document #1174,20250121,18/12/2025,843.96,52.17,"2,657.31",Local Courier,Economy,false,não,delivered,International,Fragile 556
Premium Service #1175,2025-05-10,2026/01/12,172.44,245.35,"3,438.00",DHL,Economy,true,N,delayed,International,
Enterprise Asset #1176,11/02/2026,2025/04/11,540.53,250.42,2993.03,Local Courier,Express,True,NO,lost,Midwest,Fragile 995
Advanced Record #1177,2025/10/22,2025/10/10,41.80,390.14,1609.09,DHL,Same-Day,T,1,in_transit,Midwest,
Advanced Product #1178,02/09/2025,2025/11/21,960.08,446.35,"1,687.19",Correios,Economy,1,yes,in_transit,South,Fragile 981
Professional Document #1179,05/02/2025,2026/02/10,724.40,170.71,"4,720.99",Local Courier,Economy,no,sim,delayed,International,Handle with Care 466
Custom Resource #1180,08/29/2025,10/10/2025,348.90,220.31,"1,792.07",Local Courier,Express,True,yes,returned,Midwest,Fragile 215
Advanced Record #1181,20250513,,65.68,14.02,"3,825.12",Correios,Express,Y,yes,lost,Southeast,
Professional Resource #1182,20251226,2025-02-26,115.16,419.90,1601.12,Own Fleet,Express,Y,False,delivered,Northeast,Keep Refrigerated 672
Standard Resource #1183,01/20/2025,10/02/2025,802.75,377.30,"4,652.56",Fedex,Same-Day,no,F,in_transit,Southeast,
Basic Item #1184,26/12/2025,2025/11/24,473.48,366.14,657.18,Correios,Express,YES,T,returned,South,Handle with Care 905
Advanced Record #1185,2025-05-20,,241.64,235.97,"4,426.33",Correios,Economy,false,0,in_transit,International,
Advanced Asset #1186,2025-01-29,2025/12/17,999.28,354.41,2747.74,Correios,Express,não,false,lost,North,
Standard Product #1187,02/12/2025,20251128,508.57,318.25,740.71,DHL,Same-Day,1,sim,in_transit,South,
Basic Record #1188,07/25/2025,22/12/2025,372.47,279.32,"1,865.79",DHL,Standard,True,YES,returned,International,
Custom Record #1189,2025/01/12,14/09/2025,980.17,320.54,"3,093.64",Correios,Standard,N,sim,lost,North,
Custom Product #1190,2025/05/14,20250909,715.68,455.91,512.11,Local Courier,Standard,NO,true,returned,Northeast,
Advanced Record #1191,04/03/2025,2026-02-21,847.61,118.47,3681.50,DHL,Standard,yes,true,returned,South,
Standard Entry #1192,22/03/2025,10/16/2025,481.99,410.67,"1,402.28",DHL,Standard,0,yes,delivered,Northeast,
Premium Resource #1193,13/01/2025,2025-10-11,367.07,87.27,2366.37,Fedex,Same-Day,Y,sim,returned,North,
Advanced Record #1194,10/07/2025,20260115,183.59,254.40,4533.77,Local Courier,Economy,1,no,in_transit,Midwest,Leave at Door 149
Standard Product #1195,05/08/2025,10/27/2025,56.98,303.79,3006.17,DHL,Standard,NO,False,delivered,South,
Premium Product #1196,15/06/2025,2025/01/11,839.18,293.58,240.85,Fedex,Same-Day,True,sim,in_transit,Midwest,Fragile 125
Standard Asset #1197,28/10/2025,04/15/2025,887.84,429.04,828.66,Own Fleet,Standard,1,false,in_transit,Southeast,
Advanced Service #1198,27/01/2026,2026/01/18,796.89,374.54,,DHL,Express,YES,não,in_transit,,
Basic Asset #1199,02/03/2025,,619.98,361.21,"1,651.71",DHL,Economy,N,true,returned,Southeast,
Premium Document #1200,10/14/2025,09/12/2025,726.59,330.48,2076.85,Correios,Same-Day,F,1,lost,International,
Custom Document #1201,2025/11/04,,63.58,468.00,1214.66,Own Fleet,Economy,YES,1,delivered,Midwest,Keep Refrigerated 295
Advanced Resource #1202,01/11/2026,28/08/2025,628.33,480.64,3657.20,Correios,Standard,não,T,in_transit,International,Handle with Care 223
Enterprise Product #1203,10/03/2025,11/09/2025,354.38,461.43,1413.61,Local Courier,Economy,NO,T,returned,Northeast,Leave at Door 116
Advanced Document #1204,23/08/2025,2025-12-07,251.71,432.58,420.79,DHL,Economy,1,true,returned,Northeast,
Basic Resource #1205,19/11/2025,2025-12-06,248.42,50.13,165.55,Own Fleet,Express,não,True,delayed,Midwest,
Premium Record #1206,2025-06-01,,833.62,260.98,3014.39,Correios,Express,0,False,delayed,Northeast,Leave at Door 291
Advanced Resource #1207,03/05/2025,06/10/2025,289.39,481.99,963.24,Fedex,Express,T,N,lost,Southeast,
Professional Service #1208,2025/08/05,,883.44,225.23,"2,761.17",Local Courier,Express,1,no,delivered,North,
Enterprise Item #1209,10/04/2025,,793.08,410.58,"1,924.24",DHL,Express,1,true,lost,Southeast,
Standard Record #1210,03/03/2025,20250511,162.21,280.04,1268.28,Own Fleet,Standard,true,N,in_transit,Northeast,
Premium Service #1211,25/04/2025,2025-10-01,709.62,115.54,1990.03,Fedex,Express,N,no,delivered,International,
Professional Record #1212,08/29/2025,21/09/2025,361.41,380.23,1259.13,Correios,Same-Day,NO,NO,lost,International,
Standard Record #1213,10/27/2025,20250814,698.64,172.92,819.31,Local Courier,Economy,Y,yes,returned,South,Handle with Care 841
Enterprise Product #1214,2025/10/15,20250222,595.49,201.68,4410.28,Own Fleet,Same-Day,YES,N,delivered,Southeast,Handle with Care 926
Custom Item #1215,2025-09-13,2025-12-26,410.74,345.14,199.70,Fedex,Same-Day,true,F,in_transit,South,Fragile 164
Standard Resource #1216,20251015,18/01/2026,394.93,161.01,3959.78,Correios,Standard,yes,no,delivered,International,
Advanced Product #1217,13/01/2026,05/21/2025,233.69,175.53,1255.35,Own Fleet,Same-Day,Y,yes,in_transit,International,Fragile 345
Custom Item #1218,2025/07/25,20250509,177.40,401.09,4799.84,DHL,Standard,true,true,in_transit,Midwest,Handle with Care 245
Professional Resource #1219,2025/07/14,2025-10-15,66.08,300.75,3694.65,Own Fleet,Standard,não,true,returned,North,
Enterprise Item #1220,2025/09/25,20250530,385.97,36.27,"3,725.73",Fedex,Express,True,false,delivered,Midwest,
Basic Service #1221,20250706,,627.39,173.25,4819.90,Correios,Economy,N,NO,delivered,International,Fragile 7
Professional Product #1222,29/09/2025,20251227,865.00,161.93,503.05,Fedex,Same-Day,sim,F,lost,Northeast,Handle with Care 520
Custom Product #1223,2025/09/10,20250320,915.78,495.02,"1,647.21",Correios,Standard,1,true,lost,Midwest,
Professional Document #1224,20250514,20/10/2025,495.45,287.41,"3,509.54",Correios,Express,false,não,delivered,Midwest,Handle with Care 280
Enterprise Product #1225,29/08/2025,20251127,876.75,166.97,3431.03,Fedex,Economy,no,False,returned,Midwest,
Standard Service #1226,08/01/2026,09/16/2025,525.90,70.59,2252.98,Correios,Standard,1,YES,delivered,Northeast,Fragile 613
Advanced Product #1227,13/02/2025,,305.29,16.03,3595.77,Local Courier,Same-Day,N,NO,returned,North,
Premium Entry #1228,02/22/2025,2025/03/10,839.96,472.51,2609.85,Own Fleet,Standard,não,false,lost,North,
Professional Resource #1229,20251127,04/09/2025,444.19,415.72,1972.28,Local Courier,Standard,T,yes,in_transit,International,Fragile 701
Basic Item #1230,2025/08/14,2025-01-20,207.88,444.90,"4,017.01",Correios,Economy,false,false,delivered,Northeast,
Advanced Entry #1231,07/14/2025,30/03/2025,971.44,293.43,409.66,Local Courier,Economy,não,1,delivered,Midwest,
Enterprise Item #1232,2025-09-19,,79.92,411.09,1256.16,Local Courier,Express,sim,F,returned,Southeast,Keep Refrigerated 859
Professional Entry #1233,2025-01-01,,228.22,402.34,"1,699.99",Local Courier,Express,0,não,delayed,Southeast,Fragile 944
Advanced Resource #1234,2025/03/19,2025-06-04,256.98,120.17,"3,159.83",DHL,Economy,true,sim,delayed,International,Leave at Door 734
Enterprise Product #1235,20251029,20260203,,117.68,2219.78,Correios,Express,YES,True,in_transit,South,
Basic Service #1236,06/20/2025,2025/05/24,747.61,127.68,2623.26,Own Fleet,Economy,true,no,delivered,Midwest,Fragile 126
Custom Product #1237,20250713,10/07/2025,968.00,91.26,321.13,Fedex,Standard,True,yes,returned,International,
Premium Document #1238,16/04/2025,2025-06-25,59.81,319.24,"3,083.26",Own Fleet,Standard,false,False,delayed,International,Keep Refrigerated 366
Custom Item #1239,2025-02-27,2025-12-27,572.35,471.21,"3,688.71",DHL,Same-Day,True,yes,returned,Midwest,
Basic Entry #1240,2025-07-12,2025-11-02,599.97,98.03,2988.24,Own Fleet,Express,false,Y,delivered,Southeast,
Professional Item #1241,09/15/2025,20250708,378.95,415.16,3234.09,Own Fleet,Same-Day,0,N,delivered,Southeast,Handle with Care 479
Professional Product #1242,20260205,10/04/2025,998.95,21.22,"1,572.59",Local Courier,Economy,T,NO,lost,South,
Basic Item #1243,24/06/2025,25/02/2026,960.90,377.89,3242.40,Own Fleet,Same-Day,Y,YES,lost,North,
Custom Item #1244,2026-01-09,2026/02/25,427.10,453.67,1104.03,Own Fleet,Economy,YES,false,in_transit,Northeast,
Enterprise Asset #1245,2025/01/07,04/08/2025,392.07,220.55,"3,904.92",DHL,Standard,true,1,returned,Northeast,
Professional Product #1246,08/07/2025,2025-10-19,659.81,99.82,4764.10,DHL,Express,True,yes,returned,Northeast,
Premium Entry #1247,11/09/2025,22/01/2025,142.28,486.27,2017.76,Fedex,Economy,no,no,returned,Northeast,
Enterprise Entry #1248,2025-11-15,2025/06/20,411.57,194.36,893.91,Local Courier,Standard,T,N,in_transit,Midwest,Fragile 105
Enterprise Resource #1249,20250530,20250206,187.90,92.19,2013.60,Local Courier,Economy,false,T,lost,International,
Enterprise Asset #1250,20250612,12/31/2025,493.30,446.17,3565.05,Local Courier,Express,sim,no,lost,Northeast,
Basic Record #1251,11/19/2025,04/02/2025,572.59,124.59,"3,497.11",Own Fleet,Economy,N,False,delayed,North,Handle with Care 520
Enterprise Resource #1252,11/30/2025,,581.70,457.85,862.24,Own Fleet,Express,NO,yes,in_transit,Midwest,
Advanced Entry #1253,2025/11/04,2025-10-07,465.25,287.08,1368.20,Own Fleet,Standard,1,0,in_transit,South,
Professional Resource #1254,08/14/2025,20250917,993.35,306.38,"2,200.95",DHL,Standard,False,T,delayed,International,
Custom Product #1255,11/10/2025,2025/08/21,523.44,462.54,2135.07,Own Fleet,Standard,YES,não,delayed,Northeast,Handle with Care 466
Basic Record #1256,01/03/2025,2025-02-08,998.59,277.84,"2,052.89",Correios,Express,sim,1,in_transit,Northeast,Keep Refrigerated 116
Professional Record #1257,2025-09-13,2026/01/19,283.06,426.22,"3,364.01",Fedex,Express,YES,sim,returned,Midwest,Leave at Door 81
Enterprise Item #1258,20251212,14/10/2025,661.11,476.00,3227.24,Own Fleet,Same-Day,não,true,lost,International,
Enterprise Record #1259,08/01/2025,27/07/2025,981.69,190.09,"2,315.47",DHL,Same-Day,sim,NO,delivered,Midwest,Handle with Care 376
Professional Record #1260,2025/06/21,,940.49,161.74,"4,178.34",Fedex,Same-Day,N,sim,in_transit,International,Keep Refrigerated 464
Professional Product #1261,08/01/2025,2025/09/24,163.73,376.20,1446.60,Own Fleet,Economy,true,true,returned,Southeast,
Custom Record #1262,2025/04/16,2025-08-21,23.01,486.84,1568.75,Local Courier,Economy,T,T,delivered,South,
Basic Document #1263,20251120,20250103,210.62,485.77,965.50,Local Courier,Standard,F,T,returned,Southeast,Keep Refrigerated 934
Custom Document #1264,20251002,01/29/2026,392.07,92.70,"1,636.88",Local Courier,Economy,não,YES,lost,International,Keep Refrigerated 663
Custom Service #1265,20251127,2025-12-19,286.93,409.32,"2,767.27",Fedex,Same-Day,false,Y,delivered,Northeast,
Advanced Document #1266,2025/12/02,08/19/2025,95.37,5.70,3905.17,DHL,Standard,YES,1,returned,Southeast,Leave at Door 921
Standard Entry #1267,09/24/2025,2025/03/21,500.44,207.72,541.45,Local Courier,Same-Day,Y,YES,delayed,Northeast,
Premium Item #1268,04/18/2025,20250303,406.84,132.39,2829.08,Correios,Express,F,True,in_transit,Northeast,
Enterprise Entry #1269,11/04/2025,01/01/2025,443.47,363.05,4182.39,Fedex,Same-Day,false,sim,delivered,International,Handle with Care 180
Advanced Service #1270,2025-04-17,,684.64,258.34,"2,900.44",Correios,Standard,false,T,returned,International,Keep Refrigerated 992
Basic Item #1271,28/01/2025,20250205,580.16,150.70,776.71,Own Fleet,Economy,NO,F,delivered,North,Handle with Care 977
Professional Service #1272,2026/01/05,20251103,200.50,344.71,549.14,DHL,Standard,0,yes,delivered,Southeast,
Advanced Document #1273,2025-10-11,20251202,648.15,238.29,2801.35,Own Fleet,Express,False,sim,in_transit,Midwest,Leave at Door 559
Basic Resource #1274,03/09/2025,,825.58,218.78,2037.27,Own Fleet,Express,0,0,delayed,North,
Basic Entry #1275,20250611,,34.17,255.95,,Local Courier,Economy,true,NO,in_transit,International,
Standard Item #1276,02/11/2025,25/11/2025,383.73,416.20,4565.76,Own Fleet,Economy,0,sim,returned,Midwest,
Premium Product #1277,20260127,,796.60,35.07,1434.24,Own Fleet,Express,0,false,delivered,Northeast,Keep Refrigerated 558
Premium Record #1278,01/10/2025,12/08/2025,359.71,83.00,4353.82,DHL,Express,1,Y,delivered,Southeast,
Advanced Asset #1279,02/05/2025,12/03/2025,593.04,431.02,4461.08,Correios,Standard,0,0,lost,Northeast,Fragile 644
Basic Product #1280,2025/06/25,,408.82,73.11,1987.53,Correios,Standard,N,true,delayed,International,Fragile 502
Enterprise Product #1281,20250822,25/06/2025,68.98,435.14,"4,206.20",Correios,Express,Y,F,delivered,International,
Standard Asset #1282,01/29/2025,05/03/2025,568.24,416.42,3781.00,Correios,Standard,não,True,returned,Midwest,
Premium Service #1283,17/07/2025,21/04/2025,228.33,197.64,4872.69,DHL,Standard,false,yes,delivered,South,Handle with Care 74
Premium Record #1284,04/12/2025,06/22/2025,220.57,341.07,,Local Courier,Economy,true,YES,returned,North,
Professional Product #1285,20250405,2026/01/31,396.63,273.47,3413.55,Fedex,Standard,F,NO,in_transit,South,Keep Refrigerated 229
Professional Entry #1286,2025/03/13,2025-10-16,885.15,274.62,327.79,Local Courier,Express,não,T,delayed,Southeast,
Standard Resource #1287,2025-01-06,10/12/2025,429.09,39.94,1394.02,Own Fleet,Same-Day,N,False,returned,International,
Advanced Entry #1288,2025-02-01,20250725,502.99,99.02,1949.30,Correios,Standard,N,1,delayed,Midwest,
Enterprise Product #1289,10/09/2025,2025/08/22,963.75,44.83,"1,361.42",Fedex,Standard,yes,não,lost,North,
Professional Product #1290,18/01/2025,,1.44,290.41,2554.06,Fedex,Same-Day,F,T,lost,Southeast,
Standard Item #1291,01/01/2026,2026-01-18,942.79,251.43,2667.47,Own Fleet,Standard,F,no,lost,Northeast,Keep Refrigerated 289
Professional Product #1292,20260116,2025/10/06,144.53,277.54,433.70,Local Courier,Express,sim,YES,in_transit,Midwest,Keep Refrigerated 167
Basic Asset #1293,29/06/2025,2025-12-07,704.53,68.25,1767.71,Correios,Same-Day,NO,False,returned,Northeast,
Standard Record #1294,2026-01-29,03/04/2025,451.87,469.56,3597.03,DHL,Standard,sim,0,returned,South,Fragile 619
Standard Item #1295,20251001,20250301,930.82,256.08,3354.73,Own Fleet,Economy,F,0,delayed,Northeast,
Custom Item #1296,12/14/2025,,68.98,66.46,3856.23,Local Courier,Same-Day,0,no,returned,Southeast,
Standard Entry #1297,20/05/2025,22/12/2025,753.86,452.73,4784.03,Correios,Express,não,false,delayed,North,
Standard Item #1298,2025/09/07,31/10/2025,186.82,374.36,4999.00,Local Courier,Express,F,True,in_transit,Northeast,Handle with Care 776
Professional Asset #1299,05/04/2025,07/07/2025,772.94,25.34,,Correios,Same-Day,F,YES,returned,South,
Professional Item #1300,2025/01/08,20250423,871.20,278.82,3434.88,Fedex,Standard,true,yes,delayed,Midwest,
Basic Service #1301,11/30/2025,07/03/2025,943.13,141.23,3451.08,Local Courier,Same-Day,false,sim,lost,International,
Custom Product #1302,2025-12-30,2025-08-05,376.01,93.12,"1,022.34",Fedex,Standard,NO,true,delayed,Midwest,
Enterprise Service #1303,2025/12/29,2025-01-01,581.63,487.82,4373.50,Own Fleet,Express,N,False,returned,International,
Enterprise Asset #1304,02/14/2025,,842.54,168.47,"4,363.02",Correios,Standard,1,sim,lost,International,
Custom Product #1305,2025-05-30,26/10/2025,205.81,390.60,147.43,Correios,Standard,não,false,delayed,Southeast,
Professional Resource #1306,2025/03/08,,799.76,122.80,"1,993.21",DHL,Express,N,yes,delayed,International,Handle with Care 212
Basic Document #1307,27/01/2026,31/01/2025,691.81,396.75,3759.74,Local Courier,Standard,F,False,lost,Midwest,
Enterprise Record #1308,02/04/2025,2026/01/28,746.49,177.85,155.30,DHL,Economy,0,False,delayed,North,
Enterprise Resource #1309,2025/08/30,,915.11,270.74,"1,878.49",DHL,Standard,NO,0,returned,South,Keep Refrigerated 947
Basic Asset #1310,05/05/2025,2025/08/28,71.17,400.41,,Fedex,Express,sim,false,lost,Northeast,Keep Refrigerated 77
Custom Resource #1311,2025-11-08,03/06/2025,479.05,63.73,4232.02,Local Courier,Economy,true,não,in_transit,North,
Enterprise Resource #1312,20251127,11/30/2025,830.97,443.08,3465.25,Correios,Economy,NO,False,returned,International,Keep Refrigerated 828
Professional Product #1313,20251211,02/15/2026,478.08,208.71,"2,240.60",Local Courier,Economy,F,N,delayed,Southeast,Handle with Care 24
Advanced Entry #1314,12/15/2025,,23.15,353.94,3508.76,Local Courier,Standard,True,1,delivered,International,
Professional Resource #1315,01/16/2025,10/28/2025,416.94,83.11,212.44,Own Fleet,Express,yes,Y,delayed,Northeast,
Professional Record #1316,20250807,09/06/2025,592.27,221.87,246.63,Local Courier,Express,no,True,delayed,Northeast,Leave at Door 884
Premium Product #1317,2025-11-06,13/01/2025,23.48,124.16,2380.67,DHL,Express,Y,false,delayed,International,
Custom Item #1318,07/07/2025,2026-02-12,902.04,365.62,1352.09,Own Fleet,Express,F,T,in_transit,International,
Standard Document #1319,20260112,2026/02/08,266.35,457.83,"4,817.40",Own Fleet,Standard,T,T,in_transit,Southeast,
Advanced Record #1320,02/21/2025,11/11/2025,30.59,473.62,2829.91,Own Fleet,Express,N,false,in_transit,International,Keep Refrigerated 463
Enterprise Record #1321,25/11/2025,20250503,393.73,429.29,2623.80,Local Courier,Express,yes,N,in_transit,Southeast,Handle with Care 117
Basic Document #1322,2025-06-04,,651.30,334.02,1311.84,DHL,Standard,YES,true,delivered,Southeast,Fragile 412
Custom Item #1323,20250727,2025/03/31,136.30,104.77,688.46,Local Courier,Express,sim,YES,in_transit,North,
Custom Document #1324,20250417,20250925,889.72,255.40,277.11,Fedex,Express,N,NO,delayed,South,Leave at Door 174
Standard Asset #1325,20250819,2025/11/18,541.26,337.38,2479.09,Fedex,Standard,1,True,delivered,International,
Custom Product #1326,20260103,06/20/2025,640.31,173.90,3880.23,Fedex,Standard,False,false,returned,Northeast,
Professional Product #1327,07/04/2025,06/04/2025,700.14,439.66,1975.31,Correios,Standard,YES,true,lost,South,Keep Refrigerated 436
Standard Record #1328,08/02/2026,2025-04-18,328.11,426.71,2726.04,Local Courier,Express,yes,false,delivered,Midwest,
Advanced Asset #1329,12/30/2025,,911.66,460.33,4071.98,Correios,Same-Day,yes,0,lost,South,Handle with Care 338
Basic Record #1330,16/09/2025,2025/09/07,142.13,330.63,3236.05,DHL,Same-Day,NO,True,lost,South,Fragile 79
Standard Document #1331,2025-03-13,,811.81,68.83,"1,525.46",Own Fleet,Express,NO,yes,delivered,Northeast,
Custom Resource #1332,20250427,,941.71,39.29,3521.49,Own Fleet,Economy,Y,False,delayed,North,
Custom Entry #1333,07/19/2025,2025-11-04,813.35,24.27,1318.23,Own Fleet,Same-Day,sim,False,lost,North,Fragile 192
Basic Asset #1334,25/12/2025,20250929,590.09,156.87,440.79,Correios,Express,T,YES,returned,South,
Advanced Product #1335,2025-01-16,,271.40,464.33,,Fedex,Economy,NO,não,delayed,Northeast,Fragile 282
Advanced Document #1336,02/06/2025,08/03/2025,480.40,428.36,"4,929.97",DHL,Express,Y,True,delivered,South,
Enterprise Document #1337,08/09/2025,20250523,688.89,335.67,366.26,DHL,Same-Day,YES,não,delivered,International,Leave at Door 785
Basic Item #1338,2025/05/26,,245.65,464.85,"4,748.23",Correios,Same-Day,True,sim,in_transit,International,
Enterprise Resource #1339,2025/12/29,14/07/2025,955.33,253.82,3953.56,Correios,Express,sim,true,lost,Midwest,Keep Refrigerated 583
Advanced Product #1340,02/05/2025,14/10/2025,537.62,283.59,3899.47,Local Courier,Same-Day,Y,False,delayed,Northeast,
Custom Asset #1341,09/16/2025,10/23/2025,824.91,67.04,3982.98,Correios,Economy,NO,False,lost,Midwest,Fragile 984
Basic Item #1342,2025-11-27,20250118,778.33,274.05,4045.53,DHL,Express,no,N,lost,South,Keep Refrigerated 884
Premium Service #1343,2025-04-29,14/09/2025,995.48,295.21,"1,518.54",DHL,Standard,1,não,delivered,South,Keep Refrigerated 352
Advanced Asset #1344,2025-03-31,07/29/2025,611.48,481.81,"2,216.66",Correios,Economy,NO,true,returned,Southeast,Fragile 571
Professional Document #1345,17/03/2025,,102.15,493.09,"2,587.21",Fedex,Economy,True,Y,delayed,Northeast,Fragile 279
Professional Service #1346,20250627,2025/06/03,449.45,330.31,50.35,Own Fleet,Economy,1,sim,lost,Midwest,Leave at Door 719
Advanced Entry #1347,20251206,10/03/2025,695.61,415.52,3389.59,Own Fleet,Standard,sim,True,delivered,International,
Premium Product #1348,26/05/2025,07/01/2025,854.46,177.16,4784.67,Local Courier,Express,F,no,in_transit,Northeast,
Basic Entry #1349,2025-09-07,,641.06,111.20,3866.10,Own Fleet,Standard,no,T,returned,North,Handle with Care 107
Premium Entry #1350,2026-02-02,2025-06-22,196.89,222.46,413.59,DHL,Express,0,N,returned,Northeast,Fragile 71
Standard Entry #1351,20251209,2025/02/24,532.93,356.93,85.31,Correios,Express,no,YES,delivered,,Keep Refrigerated 59
Enterprise Service #1352,2025/07/25,,515.07,183.42,"4,143.21",DHL,Express,sim,false,delayed,International,
Standard Service #1353,01/10/2025,2025-10-27,55.27,339.60,"3,765.59",Correios,Same-Day,YES,não,delivered,Midwest,
Advanced Entry #1354,20250624,2026/01/02,843.55,112.52,1228.91,DHL,Express,False,false,delayed,Northeast,Fragile 227
Custom Asset #1355,26/05/2025,2025/04/27,523.13,20.05,1051.83,DHL,Economy,Y,false,lost,North,
Standard Item #1356,2025-02-25,,509.33,63.24,1136.65,Correios,Express,False,T,in_transit,Midwest,Fragile 485
Basic Resource #1357,18/09/2025,2025-11-19,935.84,243.98,71.94,Local Courier,Same-Day,no,0,in_transit,International,
Professional Asset #1358,11/19/2025,30/01/2025,178.67,111.43,2078.47,Correios,Same-Day,T,não,delivered,International,
Custom Document #1359,2025-01-02,,275.18,422.49,85.51,Fedex,Standard,N,no,delivered,,Keep Refrigerated 301
Custom Asset #1360,20260120,07/09/2025,312.65,83.10,3958.04,DHL,Standard,não,Y,returned,Midwest,
Professional Asset #1361,2025/10/02,20251225,231.68,37.06,"4,408.56",Correios,Express,False,F,delayed,International,Fragile 628
Custom Service #1362,2026-01-23,27/05/2025,387.60,447.86,,Fedex,Express,YES,no,lost,Northeast,Leave at Door 529
Basic Asset #1363,20251006,2025-12-30,512.67,88.64,"4,168.67",Own Fleet,Express,no,yes,delivered,North,Handle with Care 730
Professional Service #1364,07/19/2025,,981.86,91.86,,DHL,Standard,T,1,delayed,Northeast,Keep Refrigerated 327
Professional Service #1365,26/08/2025,20251108,814.24,463.74,3637.43,Correios,Standard,no,F,delivered,South,
Enterprise Document #1366,04/13/2025,,104.03,107.63,3303.56,Local Courier,Economy,no,Y,returned,International,
Advanced Service #1367,2026/01/09,,274.36,431.53,3022.65,Own Fleet,Express,Y,T,delayed,Midwest,Handle with Care 713
Premium Document #1368,08/28/2025,2025/10/13,83.39,428.00,887.51,Correios,Express,False,True,delayed,South,
Enterprise Product #1369,20250421,21/01/2025,86.32,220.34,25.66,DHL,Express,F,1,delayed,International,Handle with Care 607
Professional Document #1370,20251129,,437.95,142.23,"4,414.03",Fedex,Express,Y,N,delayed,Midwest,
Basic Document #1371,20250626,,492.90,267.94,1642.57,DHL,Express,YES,1,lost,North,
Professional Resource #1372,20250621,2025/08/27,520.71,282.60,413.42,Correios,Economy,sim,False,in_transit,South,Keep Refrigerated 788
Advanced Asset #1373,20250901,06/04/2025,235.56,169.03,"1,987.56",Local Courier,Same-Day,False,yes,in_transit,South,Leave at Door 388
Basic Resource #1374,2026-01-03,,875.96,38.25,2734.15,DHL,Same-Day,0,no,lost,Northeast,
Premium Product #1375,2025/04/27,2025/11/01,664.91,28.39,196.78,Correios,Economy,true,sim,in_transit,North,
Basic Item #1376,2026-02-08,,591.71,191.81,746.25,DHL,Same-Day,NO,True,delivered,North,Leave at Door 413
Custom Product #1377,08/08/2025,,87.22,122.05,"3,660.00",Fedex,Economy,0,N,lost,South,
Advanced Record #1378,12/03/2025,2025-12-16,461.75,171.74,4008.52,DHL,Standard,true,0,in_transit,Midwest,
Professional Entry #1379,03/02/2025,2025-09-03,558.82,130.43,229.41,Own Fleet,Express,N,N,delayed,Midwest,Handle with Care 778
Advanced Resource #1380,2025-02-07,11/10/2025,597.89,191.26,224.50,Local Courier,Same-Day,0,False,lost,South,
Custom Resource #1381,20260112,2026-01-28,854.93,226.98,1874.92,Correios,Standard,Y,0,lost,Southeast,
Basic Service #1382,11/06/2025,,36.02,224.20,"2,457.76",DHL,Express,no,False,in_transit,South,
Basic Record #1383,2025/09/04,2025/07/18,848.25,435.20,2624.65,Local Courier,Economy,True,NO,delivered,Southeast,
Basic Entry #1384,2025/01/19,20250929,531.64,126.23,174.80,Fedex,Standard,false,T,lost,South,Fragile 832
Advanced Entry #1385,2025-09-26,20250826,704.01,44.60,2811.70,Own Fleet,Express,False,no,delayed,Southeast,Handle with Care 401
Enterprise Resource #1386,2025/10/11,2025/10/11,118.61,324.91,786.24,Correios,Standard,1,yes,delivered,International,Keep Refrigerated 193
Enterprise Item #1387,01/03/2025,03/06/2025,863.65,340.38,3202.84,DHL,Same-Day,F,F,in_transit,Southeast,
Standard Item #1388,2025-01-01,20250411,345.68,467.93,1632.51,Local Courier,Same-Day,True,False,returned,South,
Basic Product #1389,20260112,04/17/2025,567.13,332.68,414.40,Fedex,Economy,F,T,delivered,Midwest,
Premium Service #1390,08/12/2025,,100.34,21.09,1978.64,Local Courier,Standard,False,sim,delayed,International,Fragile 456
