transaction_id,transaction_date,amount,balance_after,fee,transaction_type,channel,is_international,is_recurring,status,risk_score,description
Standard Record #1036,2026/01/01,14624.63,782437.00,,withdrawal,Branch,Y,F,completed,low,Online Purchase 818
Basic Entry #1037,02/02/2025,-16439.79,"834,928.17",11.31,fee,POS,True,false,completed,medium,
Enterprise Service #1038,20250325,11513.70,656805.41,6.69,withdrawal,ATM,T,true,completed,high,
Enterprise Item #1039,2025/04/07,-5104.08,898573.49,,transfer,POS,1,1,reversed,medium,Bill Payment 276
Custom Product #1040,2025-05-20,-23153.85,"764,997.41",5.27,payment,Web,F,sim,failed,low,ATM Withdrawal 725
Basic Asset #1041,04/08/2025,"-10,291.29","322,196.97",1.20,withdrawal,Mobile App,NO,YES,completed,medium,ATM Withdrawal 226
Advanced Entry #1042,20250708,40119.94,"650,920.45",2.99,withdrawal,Web,T,YES,failed,,Online Purchase 563
Custom Resource #1043,2025/07/26,6838.65,120995.65,17.39,deposit,Mobile App,True,1,reversed,,Bill Payment 826
Enterprise Item #1044,12/13/2025,-24573.60,"855,546.22",34.75,transfer,Mobile App,True,False,pending,low,
Basic Entry #1045,2026/01/08,-45281.01,"756,612.31",4.38,fee,Branch,0,sim,reversed,low,Bill Payment 620
Premium Item #1046,2025-12-24,-7134.67,498476.78,,fee,Web,Y,não,completed,high,Online Purchase 687
Advanced Service #1047,2025/12/22,-30626.45,469968.07,,deposit,Mobile App,não,0,pending,,Bill Payment 357
Advanced Resource #1048,30/06/2025,19412.79,801646.24,42.88,fee,Mobile App,True,True,reversed,medium,
Professional Item #1049,2025-03-26,-41399.39,"165,110.93",,deposit,Mobile App,yes,Y,failed,high,
Premium Item #1050,2026-01-27,-13787.56,59532.22,29.55,withdrawal,Mobile App,False,não,reversed,high,
Basic Entry #1051,2025/08/10,"13,018.69",323628.56,12.52,transfer,POS,0,F,failed,low,Online Purchase 800
Professional Resource #1052,01/04/2026,-39463.06,459838.55,48.06,transfer,Mobile App,yes,no,reversed,high,Bill Payment 725
Basic Document #1053,20250402,-44033.44,"209,727.59",,payment,POS,yes,0,pending,high,ATM Withdrawal 715
Basic Record #1054,05/04/2025,"27,778.96",725457.72,26.27,transfer,POS,1,NO,pending,low,
Custom Service #1055,19/10/2025,"-18,528.45",987655.81,46.59,payment,Branch,sim,True,reversed,low,
Standard Service #1056,30/09/2025,18059.86,"786,822.81",9.77,transfer,ATM,false,não,pending,high,
Professional Resource #1057,11/02/2025,35663.92,842673.23,6.68,deposit,Web,true,false,completed,low,Bill Payment 434
Professional Product #1058,2025-02-07,"-45,105.53","29,918.89",26.04,payment,ATM,0,false,completed,medium,Salary Deposit 254
Custom Product #1059,2025/03/19,19880.24,"14,497.48",8.76,withdrawal,Branch,T,1,pending,low,
Advanced Document #1060,11/21/2025,7260.05,"157,346.33",43.35,deposit,POS,true,no,failed,low,Online Purchase 170
Custom Asset #1061,2026/01/24,42507.67,"339,733.88",44.10,payment,Mobile App,True,false,failed,low,ATM Withdrawal 622
Custom Record #1062,20250107,"-13,658.67",856723.54,8.13,deposit,POS,sim,1,failed,medium,
Professional Item #1063,2025/06/27,22807.32,179265.73,29.79,fee,Mobile App,Y,T,reversed,medium,Online Purchase 948
Custom Asset #1064,15/01/2026,"17,294.30",553898.39,25.85,payment,ATM,não,não,reversed,high,Bill Payment 656
Professional Resource #1065,01/15/2025,49130.94,"291,611.39",,fee,Mobile App,0,no,failed,medium,Online Purchase 150
Premium Item #1066,01/05/2025,37350.19,771644.62,19.64,payment,POS,False,true,reversed,high,ATM Withdrawal 930
Premium Document #1067,2026-01-10,-22219.44,918052.79,15.93,payment,Web,True,YES,reversed,,
Basic Asset #1068,2025-06-03,-44296.54,"627,896.08",,payment,Web,1,não,reversed,low,Online Purchase 876
Standard Asset #1069,2025-02-08,"-43,764.97",61166.45,47.49,deposit,Mobile App,yes,não,failed,low,Salary Deposit 685
Professional Item #1070,20/06/2025,26764.74,97859.37,10.81,transfer,Mobile App,F,NO,completed,low,
Custom Asset #1071,2025-02-12,"-33,986.37","214,753.90",5.62,withdrawal,POS,0,sim,reversed,high,Salary Deposit 176
Premium Service #1072,17/06/2025,-17183.73,"716,686.82",3.91,fee,Web,true,N,failed,high,Online Purchase 48
Standard Entry #1073,2025/07/21,-35171.65,244075.24,33.41,payment,Web,não,no,pending,low,
Premium Resource #1074,2025-08-04,"-22,611.95","336,001.22",34.50,payment,POS,0,false,failed,low,Online Purchase 973
Premium Document #1075,2026-01-07,"38,692.32",457447.14,49.92,transfer,Branch,no,N,reversed,high,
Professional Record #1076,20250518,27756.43,"819,136.69",6.14,transfer,ATM,YES,não,reversed,low,Online Purchase 905
Standard Asset #1077,13/09/2025,"-33,890.19","399,073.71",22.20,deposit,Web,1,True,failed,low,
Enterprise Product #1078,2026/02/06,-23517.36,61897.10,20.42,transfer,ATM,sim,F,completed,low,Bill Payment 632
Basic Record #1079,30/11/2025,-11602.73,369960.97,1.73,fee,Web,no,no,failed,high,Salary Deposit 588
Standard Resource #1080,2025/05/13,42304.80,525535.76,37.53,payment,POS,Y,False,completed,,Salary Deposit 357
Premium Resource #1081,13/02/2025,"39,417.92",159406.26,1.34,fee,Web,T,0,failed,medium,
Standard Resource #1082,01/01/2026,"-19,977.85","944,040.33",18.35,withdrawal,ATM,0,não,completed,low,
Basic Entry #1083,20250329,17176.29,155968.74,43.94,deposit,Web,True,1,reversed,low,ATM Withdrawal 530
Advanced Document #1084,29/09/2025,29804.38,468144.49,18.63,withdrawal,ATM,não,não,pending,low,
Premium Item #1085,03/28/2025,40302.44,490287.40,29.59,withdrawal,POS,N,true,reversed,,ATM Withdrawal 307
Basic Record #1086,20250417,-22972.02,622133.20,12.22,deposit,Mobile App,YES,sim,pending,low,
Advanced Resource #1087,2025/11/29,-1333.38,981999.43,22.22,transfer,Web,1,false,pending,medium,
Basic Product #1088,20260204,48336.30,"855,087.56",36.85,deposit,POS,N,,failed,low,
Enterprise Resource #1089,2025/09/15,"43,230.49",367644.60,20.67,fee,Branch,false,True,pending,low,Salary Deposit 682
Enterprise Resource #1090,2025-09-23,-36341.81,120898.96,42.37,fee,ATM,T,0,completed,medium,Salary Deposit 756
Standard Product #1091,27/08/2025,"-47,907.82","195,275.77",47.30,fee,Mobile App,True,True,pending,medium,
Premium Record #1092,17/03/2025,-46152.88,967024.11,,payment,Branch,T,YES,failed,medium,
Premium Asset #1093,2025-05-09,5959.63,417167.58,9.57,transfer,ATM,true,True,completed,high,Bill Payment 903
Enterprise Product #1094,2025-09-11,48800.08,955361.43,26.02,transfer,Web,T,,completed,low,
Enterprise Item #1095,07/10/2025,30714.99,251627.83,41.07,transfer,Mobile App,sim,,reversed,medium,
Professional Item #1096,2025/01/13,-31192.05,778639.95,10.77,fee,Mobile App,não,False,failed,low,Online Purchase 561
Standard Item #1097,2025-07-31,-22073.68,923762.01,,transfer,Mobile App,True,yes,completed,medium,Bill Payment 572
Enterprise Asset #1098,20260213,-42720.07,236394.14,,transfer,Mobile App,0,yes,failed,high,Bill Payment 518
Basic Entry #1099,2025/08/23,"-22,907.34",593517.15,30.03,withdrawal,Branch,NO,F,completed,high,Bill Payment 593
Custom Product #1100,2025/09/19,-29697.64,,30.23,withdrawal,Mobile App,sim,NO,reversed,,Bill Payment 825
Enterprise Product #1101,01/01/2026,-203.47,4344.11,,deposit,Web,Y,YES,pending,low,Salary Deposit 549
Enterprise Record #1102,13/02/2025,"-41,515.93","29,053.93",5.68,payment,ATM,NO,yes,completed,medium,Salary Deposit 809
Professional Document #1103,2025/11/03,-32839.89,"549,161.44",20.79,withdrawal,Mobile App,False,T,completed,low,
Custom Resource #1104,20251004,-34173.25,170812.78,17.56,withdrawal,Mobile App,sim,1,completed,high,Salary Deposit 464
Premium Asset #1105,28/11/2025,"36,875.32","367,017.53",8.57,transfer,Web,no,Y,completed,low,Bill Payment 836
Standard Service #1106,20/02/2025,1455.44,"781,709.82",23.26,transfer,ATM,F,Y,failed,low,ATM Withdrawal 614
Advanced Record #1107,2026-01-29,"6,701.75",730380.73,40.34,withdrawal,Branch,1,F,reversed,high,ATM Withdrawal 826
Enterprise Asset #1108,06/19/2025,35494.50,814125.97,,deposit,Mobile App,True,sim,pending,,
Enterprise Document #1109,2025/12/05,19170.25,895366.99,,deposit,Web,false,N,failed,,
Basic Item #1110,02/10/2025,"-22,439.41",616684.83,42.26,withdrawal,POS,false,true,failed,medium,
Premium Service #1111,25/09/2025,5213.12,748752.78,8.85,deposit,ATM,False,no,pending,medium,
Custom Record #1112,07/08/2025,11159.56,"418,047.47",31.72,fee,Web,não,não,pending,high,
Premium Document #1113,2025/11/24,"37,669.66",474203.17,18.60,withdrawal,POS,sim,Y,reversed,high,
Enterprise Item #1114,09/30/2025,-40593.72,355219.32,21.92,payment,Web,0,F,failed,medium,Bill Payment 599
Custom Product #1115,02/08/2026,-17404.51,291944.37,14.93,fee,Mobile App,true,true,completed,medium,ATM Withdrawal 945
Advanced Item #1116,2025/08/09,-16179.29,681488.29,13.86,deposit,Branch,N,false,pending,,
Custom Item #1117,2025-01-16,8967.80,25457.79,10.55,deposit,Branch,True,no,completed,low,
Standard Product #1118,27/01/2025,"34,951.54",232341.87,,deposit,Web,N,yes,completed,low,Bill Payment 768
Professional Entry #1119,30/12/2025,38087.92,899586.36,39.58,deposit,Mobile App,NO,no,failed,high,Bill Payment 12
Advanced Service #1120,2025/04/22,"-9,477.09",319659.87,6.34,payment,POS,não,não,failed,low,
Basic Entry #1121,20251220,"-37,868.82","384,845.01",9.92,withdrawal,Web,False,false,pending,low,Bill Payment 937
Enterprise Entry #1122,2025/01/30,-43115.20,"836,240.97",42.57,fee,ATM,Y,yes,completed,medium,
Premium Product #1123,2025/07/13,-42765.13,423405.35,,payment,Mobile App,no,False,pending,high,Online Purchase 204
Professional Entry #1124,02/21/2025,42001.21,"90,491.06",47.58,transfer,ATM,não,True,pending,high,
Premium Asset #1125,20250724,"3,997.23","536,463.48",47.44,withdrawal,POS,não,não,pending,high,
Enterprise Resource #1126,05/22/2025,"-11,959.99",383934.22,31.22,fee,Branch,N,não,reversed,medium,
Advanced Entry #1127,20250105,30272.17,182259.72,22.58,payment,POS,yes,no,completed,low,Salary Deposit 248
Premium Product #1128,08/13/2025,-8447.45,471913.25,45.01,fee,Branch,Y,True,failed,high,
Advanced Product #1129,11/01/2025,46271.46,497028.83,15.76,deposit,Web,YES,Y,failed,high,ATM Withdrawal 168
Custom Resource #1130,04/30/2025,"37,778.93","751,378.28",40.01,transfer,Web,F,true,pending,medium,Salary Deposit 7
Premium Service #1131,20250212,-36196.41,12481.27,32.50,fee,Mobile App,Y,0,failed,low,
Standard Resource #1132,2025/08/10,27602.72,688049.40,25.88,deposit,ATM,False,true,failed,high,ATM Withdrawal 55
Custom Record #1133,2026/01/19,26157.39,513062.89,6.87,deposit,Web,1,false,completed,low,Online Purchase 183
Premium Record #1134,2025/03/06,43578.87,"114,221.50",40.65,payment,POS,YES,0,failed,medium,ATM Withdrawal 359
Enterprise Product #1135,11/08/2025,"32,300.90","810,697.11",,payment,POS,YES,0,reversed,medium,Online Purchase 761
Premium Item #1136,2025-07-19,-31721.48,"523,399.45",29.71,fee,POS,yes,False,pending,low,
Standard Record #1137,01/01/2026,"9,351.54",722238.51,21.98,payment,Branch,no,True,failed,,
Advanced Asset #1138,20250629,-38154.43,462189.27,33.09,fee,Mobile App,não,YES,pending,high,Bill Payment 827
Professional Item #1139,12/02/2025,"-20,952.87",736898.91,,withdrawal,Branch,NO,1,pending,high,Online Purchase 168
Standard Entry #1140,2025-04-04,-35279.06,"369,295.80",,withdrawal,Web,N,0,pending,high,Salary Deposit 663
Advanced Resource #1141,01/08/2025,5727.55,277061.38,,withdrawal,Mobile App,sim,yes,reversed,medium,
Standard Asset #1142,11/10/2025,17382.03,305583.83,3.85,deposit,ATM,1,não,failed,high,
Enterprise Resource #1143,20250605,-34321.14,"663,832.95",39.56,withdrawal,Branch,True,Y,reversed,medium,Salary Deposit 395
Basic Service #1144,20250105,-17985.68,"279,048.02",29.66,payment,ATM,F,não,failed,medium,
Enterprise Asset #1145,02/02/2026,"-23,832.18",647260.93,46.17,withdrawal,ATM,Y,F,completed,medium,Salary Deposit 632
Premium Service #1146,2025/10/20,"-2,576.18","857,133.69",37.05,payment,Branch,no,yes,completed,medium,Salary Deposit 676
Enterprise Item #1147,2025/11/26,-14716.36,"501,854.99",,deposit,Mobile App,yes,T,failed,high,Bill Payment 710
Premium Item #1148,2025/12/25,-13815.18,823908.79,28.51,deposit,ATM,sim,,pending,,
Basic Asset #1149,2025/03/30,-8436.41,596986.21,12.10,withdrawal,Web,0,1,completed,medium,Bill Payment 409
Professional Resource #1150,20250108,"49,435.03",626578.74,31.31,fee,Mobile App,YES,YES,reversed,medium,
Advanced Entry #1151,2025/08/30,-41977.20,94177.96,6.98,withdrawal,Web,YES,false,failed,high,
Premium Record #1152,08/01/2026,-26414.84,623246.79,25.97,fee,Branch,N,NO,reversed,high,Bill Payment 294
Custom Entry #1153,11/01/2025,-22107.76,"592,678.83",41.10,withdrawal,Branch,true,F,completed,low,ATM Withdrawal 169
Basic Product #1154,20250123,368.67,29718.06,25.52,payment,ATM,0,yes,failed,low,Online Purchase 521
Custom Item #1155,20250628,555.91,"586,946.15",35.29,payment,Web,true,0,pending,low,Online Purchase 601
Custom Service #1156,2026/01/24,32180.48,"116,391.58",10.36,payment,Mobile App,não,F,pending,,Online Purchase 864
Enterprise Item #1157,2025-01-25,"49,558.70",938730.64,12.20,payment,POS,YES,True,failed,low,
Enterprise Resource #1158,20260108,24958.33,654808.81,38.53,payment,Web,sim,Y,completed,,
Professional Record #1159,20250114,27229.98,"444,166.91",40.17,fee,Web,NO,não,pending,low,Online Purchase 879
Standard Resource #1160,09/20/2025,5520.73,666627.04,38.04,transfer,Web,yes,NO,failed,high,Salary Deposit 373
Standard Entry #1161,05/25/2025,-23879.95,539719.86,25.98,fee,ATM,False,N,completed,low,
Premium Asset #1162,2025-07-02,"22,521.30",144296.13,49.53,deposit,POS,NO,true,reversed,medium,
Custom Resource #1163,12/08/2025,-10404.53,606157.12,15.65,payment,POS,0,Y,failed,low,
Professional Item #1164,01/03/2025,33377.15,888703.36,14.05,withdrawal,Branch,N,true,completed,high,Salary Deposit 40
Premium Service #1165,20250216,-46868.40,849238.75,37.12,deposit,ATM,T,,failed,low,
Enterprise Entry #1166,21/04/2025,-41206.26,33979.61,19.47,fee,Branch,F,0,reversed,medium,Bill Payment 685
Basic Service #1167,2025/08/13,434.13,740179.56,,deposit,Branch,não,False,reversed,medium,Salary Deposit 239
Standard Record #1168,21/02/2025,"41,914.53",627728.66,23.48,payment,Web,Y,NO,pending,low,
Premium Asset #1169,2025-06-11,-13663.51,855741.33,15.60,fee,ATM,yes,T,reversed,medium,Bill Payment 765
Basic Record #1170,20250517,"-32,765.18","8,761.40",,payment,Mobile App,não,true,failed,,
Premium Product #1171,20250928,17105.72,528978.56,,fee,POS,Y,1,reversed,low,
Standard Document #1172,03/09/2025,-25888.27,"609,244.00",,transfer,POS,true,F,reversed,high,ATM Withdrawal 924
Standard Resource #1173,2025-08-10,-20706.21,"753,816.65",35.04,fee,Branch,N,True,reversed,medium,
Standard Product #1174,20260105,11886.47,895316.70,26.40,payment,Mobile App,T,True,failed,high,Online Purchase 875
Standard Item #1175,20250615,34177.10,629669.61,6.61,transfer,POS,False,Y,failed,high,Salary Deposit 675
Custom Asset #1176,2026/01/25,45201.70,212084.58,38.13,deposit,Mobile App,False,1,failed,,ATM Withdrawal 456
Custom Entry #1177,04/12/2025,-45607.04,"15,673.52",10.73,fee,Web,N,Y,failed,,
Enterprise Record #1178,29/12/2025,-43279.69,"568,756.11",17.96,payment,Web,sim,sim,completed,medium,Bill Payment 539
Professional Item #1179,2026/01/26,-46661.61,953047.10,,deposit,Branch,True,true,completed,high,Salary Deposit 507
Custom Asset #1180,20250411,7475.37,412369.27,13.51,fee,Web,Y,T,completed,low,
Enterprise Document #1181,2025/08/16,36381.68,598662.23,,deposit,Branch,false,T,failed,high,Bill Payment 104
Advanced Product #1182,2025-11-26,-29432.37,180129.97,42.97,transfer,ATM,NO,T,pending,low,
Basic Document #1183,2025/01/19,39024.72,"158,670.79",39.72,payment,Branch,True,Y,failed,high,Online Purchase 428
Professional Document #1184,2025/02/12,-14379.86,,18.10,transfer,POS,False,false,completed,medium,ATM Withdrawal 206
Premium Asset #1185,2026/02/12,-9367.66,45337.14,36.37,withdrawal,Mobile App,F,no,pending,high,Online Purchase 523
Professional Asset #1186,20250827,"20,084.66","953,369.71",23.23,transfer,POS,no,true,completed,medium,Bill Payment 489
Basic Entry #1187,2025-03-08,-7610.91,94357.18,40.25,payment,Web,T,Y,completed,low,Online Purchase 760
Advanced Document #1188,20250618,24969.99,996810.61,4.67,transfer,POS,não,não,reversed,low,Online Purchase 29
Basic Resource #1189,06/11/2025,"-12,794.53",350097.88,3.47,deposit,Branch,0,0,reversed,high,
Custom Entry #1190,02/06/2025,"-3,678.56",141312.16,20.99,withdrawal,ATM,não,0,completed,medium,Salary Deposit 842
Enterprise Asset #1191,2025/04/19,-11395.25,"470,386.88",10.24,deposit,Branch,no,não,failed,high,Bill Payment 10
Advanced Document #1192,2025/03/28,"9,586.54","415,956.20",42.26,withdrawal,Mobile App,Y,1,reversed,medium,ATM Withdrawal 491
Professional Resource #1193,08/01/2026,21016.22,699881.75,26.16,withdrawal,ATM,no,false,pending,medium,ATM Withdrawal 475
Professional Resource #1194,2025/11/10,"-45,571.20",175948.39,43.99,fee,Branch,False,YES,completed,medium,Salary Deposit 609
Standard Resource #1195,12/05/2025,6812.18,421749.60,15.18,deposit,Mobile App,no,YES,pending,medium,
Custom Document #1196,2026/01/05,-42121.98,179945.65,22.05,deposit,Branch,0,,pending,,
Standard Service #1197,20250225,"-33,406.08",328047.88,42.72,deposit,Web,no,no,failed,high,Salary Deposit 819
Basic Entry #1198,01/05/2025,20982.81,"716,239.23",33.63,deposit,Web,sim,false,failed,low,Online Purchase 367
Custom Item #1199,01/02/2026,32422.32,824147.43,26.67,withdrawal,POS,não,true,failed,,ATM Withdrawal 577
Basic Product #1200,20260114,27270.75,656424.87,16.23,withdrawal,POS,1,false,failed,high,Salary Deposit 667
Professional Resource #1201,19/03/2025,-7771.58,819110.96,7.45,deposit,Mobile App,yes,1,completed,medium,Bill Payment 429
Basic Item #1202,04/06/2025,8201.29,374036.69,12.17,withdrawal,Branch,yes,false,pending,medium,
Enterprise Item #1203,2025/05/26,19403.40,67802.53,22.84,fee,Branch,true,N,reversed,medium,Salary Deposit 678
Advanced Document #1204,2026-01-10,-40423.64,"12,802.02",41.58,fee,POS,não,sim,failed,low,Salary Deposit 819
Standard Resource #1205,21/05/2025,-16786.31,633542.99,29.43,payment,Mobile App,NO,false,pending,low,Bill Payment 394
Professional Entry #1206,2025/09/21,19043.65,789162.92,,withdrawal,POS,T,T,pending,,Bill Payment 141
Premium Resource #1207,2025-01-09,"17,266.30",218449.30,20.40,transfer,ATM,yes,True,pending,high,
Custom Service #1208,2025-07-25,-39185.56,33177.06,42.33,transfer,POS,false,F,reversed,high,
Advanced Entry #1209,2025/06/30,48482.56,976094.95,7.76,payment,POS,1,N,pending,high,Salary Deposit 147
Professional Service #1210,20250701,-10235.57,"362,815.14",,withdrawal,Branch,não,F,completed,,ATM Withdrawal 827
Premium Record #1211,2025/01/21,-16290.27,932290.94,35.52,deposit,Branch,true,0,reversed,high,Bill Payment 744
Professional Document #1212,2025-10-31,14029.70,"447,658.94",45.56,deposit,ATM,False,Y,completed,high,ATM Withdrawal 425
Professional Item #1213,20251010,20976.87,57683.56,17.74,transfer,Web,true,NO,completed,low,ATM Withdrawal 570
Basic Product #1214,10/27/2025,49904.60,"569,660.81",24.46,withdrawal,Mobile App,0,false,reversed,low,ATM Withdrawal 522
Premium Record #1215,2025-02-11,-40080.14,998645.00,7.82,fee,Web,1,yes,completed,,Online Purchase 473
Professional Resource #1216,02/06/2025,42099.20,408170.06,22.82,transfer,Web,Y,não,reversed,low,
Custom Product #1217,30/05/2025,"-7,805.98",228383.24,,transfer,Mobile App,no,false,pending,low,
Professional Item #1218,05/02/2026,"38,032.31","464,905.49",,payment,Mobile App,não,NO,completed,low,Bill Payment 41
Custom Document #1219,05/01/2025,-47596.89,394769.74,12.38,payment,POS,não,T,completed,low,Online Purchase 302
Premium Record #1220,2025/01/27,6597.57,390522.06,47.69,payment,POS,YES,False,reversed,medium,
Custom Item #1221,20251111,-6463.51,"617,135.76",,transfer,POS,YES,no,pending,low,ATM Withdrawal 510
Basic Record #1222,20250528,21162.00,"987,988.74",13.37,transfer,ATM,não,Y,reversed,medium,ATM Withdrawal 404
Advanced Entry #1223,26/06/2025,-2500.41,87504.70,29.19,fee,Web,True,NO,completed,low,
Premium Record #1224,20250119,"34,291.06","712,183.38",,fee,ATM,não,não,failed,low,ATM Withdrawal 319
Premium Service #1225,20250324,37964.33,260783.78,45.87,deposit,ATM,F,yes,pending,,Salary Deposit 336
Premium Item #1226,20251105,"8,052.83",256217.82,21.02,withdrawal,Web,true,yes,reversed,low,Salary Deposit 598
Professional Resource #1227,2025-10-04,24303.78,"687,143.46",11.74,withdrawal,POS,NO,yes,failed,medium,Online Purchase 233
Standard Document #1228,20250424,48739.96,,,transfer,Mobile App,1,true,failed,high,Online Purchase 284
Enterprise Entry #1229,2025/07/04,15905.42,"306,191.24",29.41,fee,Web,true,YES,completed,medium,Online Purchase 481
Basic Item #1230,04/06/2025,"-22,165.99",433643.75,26.24,fee,Mobile App,no,true,failed,high,Bill Payment 10
Enterprise Document #1231,2025-04-16,"8,449.24",453787.93,49.45,payment,ATM,não,sim,pending,medium,
Enterprise Record #1232,20250530,"-17,181.43","496,215.97",14.19,deposit,Branch,F,true,pending,low,
Custom Service #1233,16/07/2025,"47,677.19",532364.15,46.69,transfer,Branch,true,sim,reversed,low,
Advanced Item #1234,20251213,9871.84,"558,042.51",39.25,deposit,Mobile App,Y,yes,reversed,medium,Salary Deposit 844
Premium Service #1235,12/02/2025,-12080.87,391224.65,34.16,transfer,Mobile App,true,true,pending,,Bill Payment 692
Custom Document #1236,2025/05/11,-21865.37,156749.84,35.00,payment,Web,yes,F,pending,medium,
Standard Entry #1237,2025/06/06,-2411.38,567083.79,38.60,withdrawal,ATM,0,,failed,medium,
Premium Asset #1238,26/10/2025,15097.09,"543,151.64",35.80,withdrawal,POS,NO,Y,reversed,,ATM Withdrawal 722
Standard Service #1239,19/07/2025,-4851.07,"472,547.69",,transfer,Mobile App,False,yes,pending,medium,Bill Payment 801
Premium Item #1240,2025-03-11,-10370.19,"454,764.96",23.92,payment,POS,YES,NO,failed,medium,
Enterprise Document #1241,20260114,"10,341.55",991659.86,13.90,transfer,Branch,N,sim,reversed,low,Salary Deposit 248
Enterprise Product #1242,20250317,"39,504.98","754,425.71",33.06,payment,POS,0,sim,failed,high,Salary Deposit 270
Custom Service #1243,2025/07/07,-25211.15,"983,789.79",,deposit,Web,True,N,pending,,ATM Withdrawal 170
Premium Product #1244,06/03/2025,-19249.53,"256,129.59",48.47,fee,ATM,não,True,pending,high,
Standard Asset #1245,2025-10-18,-29700.37,366759.96,33.14,transfer,Web,NO,true,pending,medium,Bill Payment 197
Advanced Asset #1246,2025-12-22,-25253.38,"634,161.52",48.95,payment,Mobile App,True,1,completed,low,Salary Deposit 0
Professional Item #1247,14/07/2025,-44029.86,364308.58,37.13,transfer,POS,0,N,failed,low,
Custom Item #1248,12/13/2025,-2767.67,999393.26,5.55,withdrawal,Branch,não,YES,pending,low,
Premium Product #1249,2025-08-11,"28,402.83",736686.83,36.59,transfer,Web,YES,Y,pending,high,ATM Withdrawal 377
Standard Asset #1250,2025-05-12,14360.90,365879.14,,deposit,POS,1,F,reversed,low,Salary Deposit 790
Standard Service #1251,2025-11-08,"-29,944.83",,,fee,ATM,false,NO,pending,medium,
Custom Product #1252,20250721,-19345.46,318536.92,41.56,deposit,Mobile App,NO,0,reversed,high,
Enterprise Product #1253,2025/12/31,"9,634.59",653936.01,11.72,withdrawal,Web,Y,True,reversed,medium,
Basic Document #1254,2025/02/13,35910.26,655776.60,34.86,payment,Web,NO,não,reversed,low,ATM Withdrawal 926
Advanced Product #1255,20251217,25927.03,118353.94,5.98,fee,ATM,False,N,reversed,high,
Custom Product #1256,2026-01-21,14618.83,"731,778.90",31.90,deposit,POS,F,sim,reversed,,ATM Withdrawal 403
Enterprise Record #1257,20250407,4746.67,493053.71,,fee,Web,T,false,failed,high,Salary Deposit 909
Custom Resource #1258,20/01/2026,-9977.31,815112.58,34.21,payment,POS,não,true,reversed,low,ATM Withdrawal 874
Premium Asset #1259,08/10/2025,-43827.95,456533.84,46.37,withdrawal,POS,True,T,completed,high,
Standard Document #1260,02/03/2026,14898.34,471207.67,19.58,withdrawal,POS,true,NO,pending,low,
Standard Asset #1261,2025-01-08,"35,528.57","26,781.64",28.30,deposit,Web,false,NO,pending,high,ATM Withdrawal 806
Standard Document #1262,2025/03/07,-1937.25,732128.65,28.41,fee,POS,T,YES,failed,low,
Standard Document #1263,2025/05/21,-25789.02,"773,363.64",15.40,fee,Web,sim,true,reversed,medium,
Basic Record #1264,21/06/2025,2457.86,674971.89,37.27,deposit,ATM,não,1,failed,medium,Salary Deposit 757
Premium Document #1265,2025-07-13,-7556.64,607262.62,9.48,payment,Mobile App,yes,sim,failed,medium,Bill Payment 336
Basic Entry #1266,12/04/2025,44178.50,664781.69,30.90,payment,Mobile App,0,,reversed,high,Bill Payment 417
Basic Entry #1267,11/02/2025,"33,289.29",38566.86,14.53,payment,Web,N,1,failed,high,
Standard Entry #1268,17/11/2025,41575.56,649674.93,38.87,transfer,ATM,sim,YES,pending,medium,Online Purchase 278
Enterprise Service #1269,14/01/2025,-32147.33,"885,154.40",8.71,transfer,Mobile App,no,,pending,low,
Custom Document #1270,20251022,38528.60,239510.69,6.89,transfer,Mobile App,False,no,pending,low,
Enterprise Item #1271,01/01/2026,32886.71,"279,264.45",,transfer,Branch,False,,pending,low,ATM Withdrawal 307
Basic Resource #1272,20260127,19399.95,2814.49,33.96,transfer,Mobile App,F,1,pending,medium,
Professional Entry #1273,05/09/2025,21961.62,994582.39,47.17,transfer,ATM,sim,false,reversed,medium,Online Purchase 234
Standard Entry #1274,02/22/2025,-17029.46,"52,675.20",43.25,withdrawal,Web,T,0,pending,high,Online Purchase 576
Basic Resource #1275,11/12/2025,-38759.46,375273.14,12.31,deposit,POS,False,sim,completed,high,
Basic Item #1276,30/04/2025,-5820.64,158292.16,32.55,withdrawal,POS,0,1,completed,low,
Premium Product #1277,08/03/2025,"-16,412.94",547182.50,26.52,payment,POS,Y,Y,completed,high,ATM Withdrawal 757
Custom Resource #1278,20251213,"40,230.44",940730.95,0.62,payment,Mobile App,False,F,failed,,ATM Withdrawal 421
Premium Service #1279,20250503,-37746.03,"394,125.44",2.29,payment,Branch,F,true,reversed,medium,Salary Deposit 293
Basic Product #1280,06/06/2025,"-26,876.62",14155.83,,transfer,Mobile App,sim,no,failed,high,Bill Payment 719
Enterprise Resource #1281,16/01/2026,13200.84,999030.16,,fee,Branch,True,False,pending,low,Salary Deposit 415
Basic Document #1282,20250408,47048.14,653048.76,13.48,deposit,ATM,False,0,reversed,low,
Advanced Product #1283,2025/04/06,-6144.71,599967.40,10.41,transfer,Mobile App,N,Y,failed,,Salary Deposit 41
Basic Product #1284,2026/02/06,-47392.79,469086.07,39.57,payment,ATM,False,NO,completed,medium,Salary Deposit 38
Premium Product #1285,2025-03-16,7984.78,169640.10,,payment,ATM,YES,sim,pending,high,
